Arquivo,solo,conceitos,cultura,culturaClasse1,animal,tecnologia,tecnologiaClasse,regiao,uf
A_1959.2010061500000.txt,?,trabalho,arroz,'culturas agricolas',?,manejo,solo,SE,MG
A_1959.2010061500000.txt,?,trabalho,milho,'culturas agricolas',?,manejo,solo,SE,MG
A_1959.2010061500000.txt,?,trabalho,feijao,'culturas agricolas',?,manejo,solo,SE,MG
A_990.2015061500000.txt,?,'meio ambiente',alface,horticolas,gado,organico,'sistemas de producao',SE,MG
A_990.2015061500000.txt,?,'meio ambiente',alface,horticolas,gado,organico,'sistemas de producao',SE,MG
A_990.2015061500000.txt,?,'meio ambiente',alface,horticolas,gado,manejo,solo,SE,MG
A_990.2015061500000.txt,?,'meio ambiente',alface,horticolas,gado,apicultura,'sistemas de producao',SE,MG
A_990.2015061500000.txt,?,'meio ambiente',alface,horticolas,gado,apicultura,'sistemas de producao',SE,MG
A_990.2015061500000.txt,?,'meio ambiente',alface,horticolas,gado,'sistemas agrossilvipastoris','sistemas de producao',SE,MG
A_990.2015061500000.txt,?,'meio ambiente',alface,horticolas,gado,'sistemas agrossilvipastoris','sistemas de producao',SE,MG
A_990.2015061500000.txt,?,'meio ambiente',alface,horticolas,gado,psicultura,'sistemas de producao',SE,MG
A_990.2015061500000.txt,?,'meio ambiente',alface,horticolas,gado,psicultura,'sistemas de producao',SE,MG
A_5409.2014061500000.txt,?,trabalho,mandioca,'culturas agricolas',?,?,?,SE,MG
A_5409.2014061500000.txt,?,trabalho,abacaxi,'culturas agricolas',?,?,?,SE,MG
A_1806.1997061500000.txt,latossolo,?,?,?,?,manejo,solo,SE,MG
A_6282.2013061500000.txt,?,'agricultura familiar',abobora,'culturas agricolas',?,?,?,SE,MG
A_6282.2013061500000.txt,?,trabalho,abobora,'culturas agricolas',?,?,?,SE,MG
A_4744.2009061500000.txt,?,trabalho,coentro,horticolas,?,organico,'sistemas de producao',SE,SP
A_4744.2009061500000.txt,?,trabalho,coentro,horticolas,?,organicos,'sistemas de producao',SE,SP
A_4744.2009061500000.txt,?,trabalho,coentro,horticolas,?,organicos,'sistemas de producao',SE,SP
A_3917.2014061500000.txt,?,'agricultura familiar',?,?,?,?,?,SE,MG
A_4628.2008061500000.txt,?,'agricultura familiar',gergelim,'culturas agricolas',?,organico,'sistemas de producao',SE,MG
A_4628.2008061500000.txt,?,'agricultura familiar',gergelim,'culturas agricolas',?,organico,'sistemas de producao',SE,MG
A_4628.2008061500000.txt,?,'agricultura familiar',gergelim,'culturas agricolas',?,organico,'sistemas de producao',SE,SP
A_4628.2008061500000.txt,?,'agricultura familiar',gergelim,'culturas agricolas',?,organico,'sistemas de producao',SE,SP
A_1962.2010061500000.txt,?,'desenvolvimento local',mandioca,'culturas agricolas',?,manejo,solo,SE,MG
A_1962.2010061500000.txt,?,'desenvolvimento local',cupuacu,'arboreas frutiferas',?,manejo,solo,SE,MG
A_1962.2010061500000.txt,?,'desenvolvimento local',banana,'culturas agricolas',?,manejo,solo,SE,MG
A_1962.2010061500000.txt,?,'desenvolvimento local',laranja,'arboreas frutiferas',?,manejo,solo,SE,MG
A_1962.2010061500000.txt,?,'agricultura familiar',mandioca,'culturas agricolas',?,manejo,solo,SE,MG
A_1962.2010061500000.txt,?,'agricultura familiar',cupuacu,'arboreas frutiferas',?,manejo,solo,SE,MG
A_1962.2010061500000.txt,?,'agricultura familiar',banana,'culturas agricolas',?,manejo,solo,SE,MG
A_1962.2010061500000.txt,?,'agricultura familiar',laranja,'arboreas frutiferas',?,manejo,solo,SE,MG
A_1962.2010061500000.txt,?,'comunidades rurais',mandioca,'culturas agricolas',?,manejo,solo,SE,MG
A_4012.2010061500000.txt,?,'agricultura familiar',palmeira,'arboreas madeira semente produtos',?,biomassa,ecologia,SE,RJ
A_4012.2010061500000.txt,?,'agricultura familiar',coentro,horticolas,?,biomassa,ecologia,SE,RJ
A_4012.2010061500000.txt,?,'agricultura familiar',algodao,'culturas agricolas',?,biomassa,ecologia,SE,RJ
